Region,AKP,CHP,DYP,MHP,GP,DEHAP,ANAP,SP,DSP,YTP,BBP,YP,IP,BTP,ÖDP,LDP,MP,TKP,Ind,Electorate,Votes,Valid votes,Invalid votes
Istanbul,43,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,70,-,-
Tekirdag,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5,-,-
Edirne,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4,-,-
Kirklareli,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Balikesir,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,8,-,-
Canakkale,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4,-,-
Izmir,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,24,-,-
Aydin,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,8,-,-
Denizli,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,7,-,-
Mugla,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6,-,-
Manisa,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,10,-,-
Afyon,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,7,-,-
Kutahya,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6,-,-
Usak,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Bursa,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,16,-,-
Eskisehir,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6,-,-
Bilecik,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,2,-,-
Kocaeli,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,9,-,-
Sakarya,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6,-,-
Duzce,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Bolu,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Yalova,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,2,-,-
Ankara,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,29,-,-
Konya,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,16,-,-
Karaman,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Antalya,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,13,-,-
Isparta,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5,-,-
Burdur,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Adana,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,14,-,-
Icel,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,12,-,-
Hatay,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,10,-,-
Kahramanmaras,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,8,-,-
Osmaniye,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4,-,-
Kirikkale,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4,-,-
Aksaray,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4,-,-
Nigde,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Nevsehir,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Kirsehir,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Kayseri,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,8,-,-
Sivas,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6,-,-
Yozgat,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,6,-,-
Zonguldak,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5,-,-
Karabuk,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Bartin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,2,-,-
Kastamonu,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,4,-,-
Cankiri,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Sinop,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Samsun,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,9,-,-
Tokat,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,7,-,-
Corum,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5,-,-
Amasya,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Trabzon,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,8,-,-
Ordu,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,7,-,-
Giresun,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5,-,-
Rize,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,-,-
Artvin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,2,-,-
