Region,AKP,CHP,DYP,MHP,GP,DEHAP,ANAP,SP,DSP,YTP,BBP,YP,IP,BTP,ÖDP,LDP,MP,TKP,Ind,Electorate,Votes,Valid votes,Invalid votes
Istanbul,1943776,1257330,189373,263208,429475,287953,238777,197795,59842,103071,41359,92293,31552,25602,20735,21006,5664,13251,2964,7159151,5419062,5205166,213896
Tekirdag,55935,89159,40088,28567,43022,5519,19282,3621,8306,4271,1666,22529,1934,731,1137,999,1372,749,0,416942,337370,327689,9681
Edirne,20257,66877,38250,21889,43109,2041,9829,4569,9261,4391,1269,4308,1682,607,1530,681,818,566,118,286516,239419,231210,8209
Kirklareli,23555,61619,26561,13668,24100,1590,14814,1255,5887,2852,772,6309,1086,388,1468,404,652,352,484,229391,197636,187112,10524
Balikesir,213569,125095,94728,50500,56729,10224,32766,9273,11179,6835,4421,7325,3224,2304,2125,2329,1881,1242,225,786457,662751,633699,29052
Canakkale,71358,63191,46738,27304,24707,2800,20665,1814,4084,3279,1437,3059,1592,862,856,813,834,451,300,333354,286420,275140,11280
Izmir,321865,544862,174838,146155,328338,97067,78897,15568,30701,59674,10796,16421,16201,5868,10722,6953,3108,6060,725,2423285,1939885,1867866,72019
Aydin,89713,101830,97232,58815,47789,24603,27866,3922,6988,5615,4192,3184,3586,1457,1627,1150,1457,953,9169,614847,523997,489463,34534
Denizli,107842,92614,80286,45551,45639,8210,31509,3708,8224,4065,4159,3582,3693,1117,1653,1578,1796,808,213,547223,469806,444655,25151
Mugla,50816,106937,87454,43675,39890,6640,25307,1511,6362,5560,1877,2486,2835,680,1314,769,1135,685,0,478342,397842,384558,13284
Manisa,216455,126511,137619,62015,68011,28296,28279,6292,10988,6541,6845,4797,3294,3611,2684,2262,2055,1390,208,850783,743243,715701,27542
Afyon,149518,43488,48075,49177,18947,3793,17888,4544,3105,1150,3134,1724,1744,1517,540,620,1197,409,128,423350,365440,349446,15994
Kutahya,167299,26530,43468,23757,19709,3265,29639,8992,4473,1317,3903,2122,1136,2528,543,753,1576,467,169,398308,354540,340413,14127
Usak,48197,43712,19360,18782,20115,2805,9165,2825,3375,2189,2029,1243,1140,1280,1131,455,652,293,94,211189,186903,178181,8722
Bursa,469280,173299,130414,73717,98740,23869,55334,33273,15061,14093,6819,16251,4436,7122,3213,5711,2331,1733,1448,1487412,1186482,1132057,54425
Eskisehir,119410,91163,56673,35740,46122,5000,15053,7494,5788,4157,2224,3706,2384,2239,1189,1375,892,817,2138,492434,426417,402131,24286
Bilecik,27453,20279,24055,11009,10629,1163,6623,4001,1302,581,590,841,578,392,225,214,246,140,0,126190,113283,109934,3349
Kocaeli,277461,120719,40370,39146,43250,25500,22671,39961,6786,5823,4914,8130,2678,3893,2056,1604,1056,1147,279,752556,673467,645035,28432
Sakarya,189246,29668,26581,20866,108822,7313,15586,14748,2946,1821,3268,3770,1624,2575,776,775,635,633,0,523213,438268,430167,8101
Duzce,85194,13933,19618,6392,12091,2624,8626,5608,1493,911,1227,1084,802,1270,620,369,315,232,0,193454,165792,161835,3957
Bolu,66842,18099,18637,11902,10845,2165,13254,4094,2190,1347,1514,1177,695,803,402,422,493,273,0,183308,158341,154585,3756
Yalova,31681,16506,7247,13891,6437,3626,5499,1900,1127,759,578,852,297,419,243,301,99,157,24,124556,94150,91298,2852
Ankara,820260,603385,116611,184826,146163,52709,63293,24021,20225,23700,25322,13722,15629,13342,9625,9810,2468,6197,943,2698870,2221851,2144184,77667
Konya,487700,76314,64660,83944,26122,27941,36247,42412,5701,5047,8370,3628,2736,2904,1334,1732,2118,814,7911,1103009,919408,884416,34992
Karaman,42994,20433,8532,14828,3866,1411,10609,3211,1519,472,1087,678,781,742,552,209,491,162,0,131836,115572,112138,3434
Antalya,159733,233463,110696,78264,41523,20971,67970,7686,5781,6631,4310,5426,3434,1325,2184,1719,2051,1240,457,1019624,784645,752010,32635
Isparta,90272,28570,41056,24950,9853,2370,7430,2816,1521,919,1650,863,879,1643,351,742,516,260,67,261973,225008,215984,9024
Burdur,40773,29359,30005,18998,9218,1260,7916,2998,1723,1351,1962,1206,641,395,599,307,599,255,31,173849,154934,149064,5870
Adana,229729,182436,98440,97700,75464,79397,31130,14178,11954,9025,4866,6369,3962,2095,3765,1598,1487,1759,1115,1194078,887142,853417,33725
Icel,122995,168372,59462,125370,46905,64844,45060,6726,7845,11322,4305,3862,3549,1986,2794,1089,1441,1113,1647,928757,708170,678105,30065
Hatay,166403,143792,47557,60643,31944,18767,30169,7972,7244,6758,3175,2018,2787,2690,1557,588,1019,940,20821,746949,584939,554810,30129
Kahramanmaras,216388,45123,36163,34456,8695,12830,19298,6774,3983,2474,8967,1174,1493,1596,478,514,791,380,0,541615,407824,400127,7697
Osmaniye,62623,27640,19179,58622,5569,4458,12248,3396,1295,586,2335,726,522,489,252,228,384,175,126,264169,206218,200084,6134
Kirikkale,74813,19574,15030,21478,6800,1462,4583,2947,1007,502,2028,431,596,364,152,184,188,159,20,194168,155712,151766,3946
Aksaray,74784,17527,15195,17784,6364,2582,9357,2989,1527,860,1751,1367,742,1372,266,237,548,189,64,214655,160086,154939,5147
Nigde,64415,28815,17150,14791,4627,1980,8800,4098,1465,1161,1312,814,1364,539,461,284,425,257,0,209794,157018,152190,4828
Nevsehir,64415,21252,15160,18318,5271,1694,10866,4387,994,895,1369,865,499,412,536,235,317,164,0,183317,151625,147094,4531
Kirsehir,36082,25200,4068,24700,6481,4698,6261,1638,1154,614,1445,623,522,560,465,207,256,195,616,156888,119761,115338,4423
Kayseri,272762,56965,26318,57367,24902,7761,9217,11425,2810,1668,7301,1765,1687,3505,679,1128,868,532,13285,652995,518354,500179,18175
Sivas,138851,49267,12992,28194,7269,3674,4346,14511,1952,846,40802,834,1073,1084,1037,395,530,336,139,418998,313804,307012,6792
Yozgat,123540,29130,15885,31183,6805,3599,15279,5523,1169,865,4377,979,668,928,375,403,633,259,0,318147,246221,240696,5525
Zonguldak,101652,69580,41916,13897,31051,4131,28289,8599,9786,6601,4028,3316,2299,1172,1786,1227,1597,881,1194,439345,352947,331752,21195
Karabuk,57026,13617,17805,8150,5959,1817,7834,5143,1762,865,1352,763,631,1901,370,555,403,237,0,156811,129670,125737,3933
Bartin,29670,14268,14740,13697,6313,1550,8721,2314,5687,1308,991,1301,631,423,538,533,800,294,0,133008,108495,103388,5107
Kastamonu,65228,24076,42786,27720,11997,2906,17692,2074,5581,1110,2258,2031,1069,1271,592,984,1286,435,0,264823,217144,210346,6798
Cankiri,52858,6737,15993,14950,2994,1665,3318,2252,671,348,1900,438,337,638,173,214,220,163,0,141298,108277,105501,2776
Sinop,35888,20389,12448,10440,6899,1877,11089,1592,2413,1023,1223,1115,853,590,424,457,768,325,756,148000,115460,110152,5308
Samsun,269209,88761,77850,41748,36686,7553,31360,9823,6259,4724,8002,3327,2422,2870,1732,1565,1642,1146,3649,796896,625568,598198,27370
Tokat,136288,61081,27795,34780,8968,4008,7648,6402,2918,893,5308,948,1078,1497,812,538,1007,316,7641,425030,319816,308824,10992
Corum,153533,70243,24917,27524,9514,6128,7490,5054,2024,1054,3351,1098,1447,1037,770,755,701,404,0,385225,322959,315886,7073
Amasya,75080,43864,20383,19100,5362,2476,9501,3328,3202,811,2840,805,735,547,511,322,471,183,0,246259,193411,188818,4593
Trabzon,164094,54668,40049,31364,6191,3013,29925,21208,5094,1439,3690,2124,1150,4826,1065,1030,826,476,1309,519748,385180,372130,13050
Ordu,142198,53970,43253,27076,21824,4943,23757,3123,4801,2130,4296,2409,1862,1542,1745,971,1378,834,542,478547,354791,341415,13376
Giresun,99078,30724,21718,14970,6877,2815,14112,4217,3329,953,2474,2671,809,1414,700,430,559,422,9686,291036,225647,217193,8454
Rize,72005,12102,12058,5158,1228,970,46577,6895,1411,397,696,940,460,661,532,352,251,194,72,224185,165742,162265,3477
Artvin,23979,26243,21493,10582,1599,953,9647,1363,1318,799,818,717,493,895,1512,253,414,233,0,133862,105409,102930,2479
Gumushane,27538,5701,8626,10759,775,666,4569,3150,441,113,950,272,217,621,98,100,184,64,0,92713,66009,64604,1405
Erzurum,184870,19495,21269,36749,7578,33291,10036,12158,2825,863,4294,1402,731,1216,-,560,469,324,156,458895,344146,337091,7055
Erzincan,44377,30358,11075,7937,2505,1764,4025,2544,1093,483,1131,270,535,402,545,106,132,149,0,151192,110772,109024,1748
Bayburt,10162,946,5557,4642,399,230,323,4037,151,38,499,85,69,240,20,35,37,22,10515,54768,39454,37910,1544
Agri,26219,14230,11550,7835,2177,51947,7575,10690,2124,1132,2277,1037,298,592,330,227,436,153,7322,210094,153636,147671,5965
Kars,20831,20227,12875,14257,3719,23659,2657,2795,1227,1176,733,559,507,864,314,184,258,228,13767,176648,126085,120469,5616
Igdir,4015,9175,6123,8204,468,20199,5085,306,318,375,322,333,165,211,145,67,171,62,6062,87307,64038,61614,2424
Ardahan,6746,12561,10308,5053,1203,9142,3799,1476,1118,991,669,427,1002,353,200,145,284,102,1793,78544,59153,57175,1978
Malatya,161658,57681,23133,19227,7507,13344,8286,12219,1859,2542,4096,924,1369,1765,1274,460,559,311,957,449965,327181,318011,9170
Elazig,102474,21613,4387,16165,3931,17387,5760,14449,922,414,2215,729,638,1739,486,194,246,192,50115,346330,254130,243337,10793
Bingol,28198,6998,5796,7801,886,19709,835,7321,700,144,864,228,156,353,119,79,119,62,8494,119040,93211,88583,4628
Tunceli,2759,10188,5477,4075,315,13470,1961,146,518,897,158,195,426,105,228,38,100,102,229,57115,42417,41247,1170
Van,66797,13307,16743,8297,5578,105520,11570,9064,3765,2323,3352,1352,787,1791,556,477,745,362,5901,359562,267840,257475,10365
Mus,21876,8067,15009,3999,1236,49302,10548,5268,371,136,671,372,222,280,191,70,160,65,11608,168085,133873,129070,4803
Bitlis,18151,4644,9549,6615,945,30352,6634,4591,760,1016,765,331,112,386,147,100,172,70,17365,135433,107186,102417,4769
